 Sr. No , Province , NA , District , Total Candidates , Polling Stations , Wining Party , Elected MNA , Total Male Voters , Total Female Voters , Total Voters , Total Casted Male Voters , Total Casted Female Voters , Total Casted Votes , Correct Votes , Incorect Votes , Total Turnout % , Male Turnout % , Female Turnout % , IND  , IND-win , IND-PTI , PML(N) , PPPP , MQM  , JUI(P) , ANP , JIP , TLP , PML , IPP , MWMP , BNP , PML(Z) , PNAPF , BAP , PMML , PMAP , NP , GDA , PTI(P) , RJUI , PRHP , QWP , MOTP , PNP , AWP , JUIP(S) , TIPM , HQMP , PAT , PIRP , JUI(N) , NDM , TDP , PFM , PTSP , ATP , MATP , PDQM , TJP , PAAP , BPP , SKQM , PTE , GDP , AATP , PMLKQK , PWP , PAL , PAQ , PFP , TTK , PTSB , TLI , AJPP , AMLP , TTP , PT-Insaniat , APP , JUP(IN) , PTI(N) , ALPP , SIC , KIAP , PPP(BS) , TAP , JWP , IJIP , PL , PMP(N) , HKP , NPC , MJAHP , KI , PML(O) , APMM , SDP , TTNP , PPAP(A) , JUI(NP) , PKI(CA) , PSDP , PAAM , Aman.TP , PSP , PMA , KS , AL , PCP , MQMP , ALI , PML-C , PMLSAF , BNP(A) , JQM , HDTB , HDP , AHDP 
 201 , Sindh , NA-202 , Khairpur-I , 14 , 305 , PPPP , Nafisa Shah ," 234,037 "," 213,226 "," 447,263 "," 112,718 "," 90,267 "," 202,985 "," 196,903 "," 6,082 ", 45 , 48 , 42 , -   , -   ," 8,337 ", -   ," 146,083 ", 206 , -   , -   ," 1,628 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 28,613 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 202 , Sindh , NA-203 , Khairpur-II , 14 , 277 , PPPP , Pir Syed Fazal Ali Shah ," 226,982 "," 199,048 "," 426,030 "," 131,106 "," 111,952 "," 243,058 "," 234,727 "," 8,331 ", 57 , 58 , 56 ," 5,591 ", -   , 622 , -   ," 128,830 ", -   , -   , -   , 174 ," 1,274 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 98,236 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 203 , Sindh , NA-204 , Khairpur-III , 13 , 326 , PPPP , Syed Javed Ali Shah Jilani ," 259,562 "," 235,914 "," 495,476 "," 121,218 "," 94,396 "," 215,614 "," 207,411 "," 8,203 ", 44 , 47 , 40 , -   , -   ," 3,695 ", -   ," 112,249 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 87,501 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,175 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 204 , Sindh , NA-205 , Naushahro Feroze-I , 18 , 359 , PPPP , Syed Abrar Ali Shah ," 256,817 "," 220,502 "," 477,319 "," 125,041 "," 96,782 "," 221,823 "," 215,057 "," 6,766 ", 46 , 49 , 44 ," 34,655 ", -   , -   ," 54,404 "," 122,675 ", 455 , -   , -   , -   ," 2,694 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 174 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 205 , Sindh , NA-206 , Naushahro Feroze-II , 15 , 351 , PPPP , Zulfiqar Ali Behan ," 251,484 "," 214,362 "," 465,846 "," 128,628 "," 102,307 "," 230,935 "," 222,297 "," 8,638 ", 50 , 51 , 48 ," 1,932 ", -   ," 1,658 ", -   ," 135,147 ", 427 , -   , -   ," 1,589 "," 3,165 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 77,108 ", -   , -   ," 1,271 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 206 , Sindh , NA-207 , Shaheed Benazirabad-I , 13 , 346 , PPPP , Asif Ali Zardari ," 268,522 "," 227,515 "," 496,037 "," 126,582 "," 94,251 "," 220,833 "," 214,726 "," 6,107 ", 45 , 47 , 41 ," 7,900 ", -   ," 51,916 ", -   ," 146,989 ", -   , -   , -   , -   ," 7,633 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 288 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 207 , Sindh , NA-208 , Shaheed Benazirabad-II , 19 , 334 , PPPP , Syed Ghulam Mustafa Shah ," 231,066 "," 198,876 "," 429,942 "," 122,119 "," 95,753 "," 217,872 "," 206,064 "," 11,808 ", 51 , 53 , 48 ," 14,470 ", -   ," 2,586 ", -   ," 125,565 ", 407 , 264 , -   ," 1,013 "," 2,385 ", -   , -   , -   , -   , -   , -   , -   , 589 , -   , -   ," 58,785 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 208 , Sindh , NA-209 , Sanghar-I , 16 , 442 , PPPP , Shazia Marri ," 326,355 "," 281,283 "," 607,638 "," 175,981 "," 140,371 "," 316,352 "," 304,473 "," 11,879 ", 52 , 54 , 50 ," 2,700 ", -   ," 4,071 ", -   ," 156,002 ", 92 , -   , -   ," 1,106 ", 898 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 139,604 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 209 , Sindh , NA-210 , Sanghar-II , 12 , 459 , PPPP , Salahuddin Junejo ," 320,767 "," 280,098 "," 600,865 "," 160,671 "," 122,225 "," 282,896 "," 275,070 "," 7,826 ", 47 , 50 , 44 , -   , -   ," 7,834 ", -   ," 150,195 ", 485 , -   , -   ," 3,407 ", -   , -   , -   , -   , -   , -   , -   , -   , 599 , -   , -   ," 108,194 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 210 , Sindh , NA-211 , Mirpurkhas-I , 16 , 326 , PPPP , Pir Aftab Hussain Shah Jelani ," 232,346 "," 200,713 "," 433,059 "," 110,481 "," 79,462 "," 189,943 "," 181,810 "," 8,133 ", 44 , 48 , 40 ," 68,878 ", -   ," 22,524 "," 1,043 "," 84,512 ", -   , -   , -   ," 3,950 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 703 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 211 , Sindh , NA-212 , Mirpurkhas-II , 10 , 330 , PPPP , Mir Munwar Ali Talpur ," 229,256 "," 203,085 "," 432,341 "," 113,770 "," 90,617 "," 204,387 "," 196,512 "," 7,875 ", 47 , 50 , 45 ," 68,194 ", -   , 791 , -   ," 121,972 ", -   , 456 , -   ," 2,106 "," 2,993 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 212 , Sindh , NA-213 , Umerkot , 19 , 494 , PPPP , Nawab Yousaf Talpur ," 310,971 "," 278,379 "," 589,350 "," 159,775 "," 138,187 "," 297,962 "," 280,391 "," 17,571 ", 51 , 51 , 50 ," 13,655 ", -   ," 37,958 "," 44,847 "," 175,162 "," 1,542 ", -   , -   ," 1,230 "," 5,997 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 213 , Sindh , NA-214 , Tharparkar-I , 11 , 382 , PPPP , Ameer ali shah jallani ," 167,379 "," 141,103 "," 308,482 "," 116,152 "," 102,686 "," 218,838 "," 211,497 "," 7,341 ", 71 , 69 , 73 ," 2,730 ", -   ," 16,844 ", -   ," 129,992 ", -   ," 1,686 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 60,245 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 214 , Sindh , NA-215 , Tharparkar-II , 20 , 401 , PPPP , Mahesh Kumar Malani ," 225,016 "," 190,093 "," 415,109 "," 149,595 "," 128,763 "," 278,358 "," 266,664 "," 11,694 ", 67 , 66 , 68 ," 11,006 ", -   ," 6,738 ", -   ," 132,061 ", 275 ," 2,259 ", -   , 979 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 113,346 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 215 , Sindh , NA-216 , Matiari , 12 , 320 , PPPP , Makhdoom Jamil uz Zaman ," 221,177 "," 196,452 "," 417,629 "," 125,673 "," 99,138 "," 224,811 "," 216,314 "," 8,497 ", 54 , 57 , 50 ," 4,817 ", -   ," 4,045 "," 80,439 "," 124,536 ", -   , -   , -   ," 2,142 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 335 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 216 , Sindh , NA-217 , Tando Allah Yar , 15 , 331 , PPPP , Zulfiqar Bachani ," 239,908 "," 211,724 "," 451,632 "," 121,295 "," 94,453 "," 215,748 "," 208,523 "," 7,225 ", 48 , 51 , 45 ," 2,716 ", -   ," 6,006 ", -   ," 119,530 ", -   , -   , -   ," 1,416 "," 3,219 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 73,778 ", -   , -   ," 1,528 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 330 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 217 , Sindh , NA-218 , Haiderabad-I , 11 , 240 , PPPP , Syed Hussain Tariq ," 178,290 "," 160,665 "," 338,955 "," 78,968 "," 59,476 "," 138,444 "," 133,402 "," 5,042 ", 41 , 44 , 37 , -   , -   , -   , -   ," 108,597 ", 742 , -   , -   ," 5,139 "," 2,749 ", -   , -   , -   , -   , -   , -   , -   , 989 , -   , -   ," 7,942 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 507 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 218 , Sindh , NA-219 , Haiderabad-II , 38 , 296 , MQM , Abdul Aleem Khan ," 229,980 "," 194,469 "," 424,449 "," 92,814 "," 55,344 "," 148,158 "," 145,151 "," 3,007 ", 35 , 40 , 28 ," 11,966 ", -   ," 38,315 "," 1,576 "," 26,649 "," 55,050 ", -   , -   ," 4,675 "," 5,806 ", -   , -   , -   , -   , -   , -   , -   , 658 , 66 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 179 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 211 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 219 , Sindh , NA-220 , Haiderabad-III , 32 , 347 , MQM , Syed Waseem Hussain ," 254,055 "," 206,977 "," 461,032 "," 112,702 "," 65,258 "," 177,960 "," 175,324 "," 2,636 ", 39 , 44 , 32 ," 13,431 ", -   ," 52,025 "," 1,969 "," 28,099 "," 64,531 ", -   , -   ," 4,365 "," 7,584 ", -   , -   , -   , -   , -   , -   , -   , 565 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 869 , -   , -   , -   , -   , 341 , -   , -   , -   , -   , -   , -   , -   , 144 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,401 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 220 , Sindh , NA-221 , Tando Muhammad Khan , 17 , 298 , PPPP , Syed Naveed Qamar ," 191,194 "," 165,250 "," 356,444 "," 102,350 "," 69,559 "," 171,909 "," 162,760 "," 9,149 ", 48 , 54 , 42 ," 12,910 ", -   ," 23,810 ", -   ," 110,892 ", 392 , -   , -   ," 2,025 "," 4,143 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 714 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 7,857 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 221 , Sindh , NA-222 , Badeen-I , 15 , 338 , PPPP , Meer Ghulam Ali ," 252,138 "," 219,457 "," 471,595 "," 125,152 "," 86,410 "," 211,562 "," 199,753 "," 11,809 ", 45 , 50 , 39 ," 4,108 ", -   ," 6,932 ", -   ," 113,916 ", -   , 954 , -   ," 1,122 "," 1,671 ", -   , -   , -   , -   , -   , -   , -   , 453 , -   , -   ," 67,010 ", -   , -   ," 3,587 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 222 , Sindh , NA-223 , Badeen-II , 16 , 355 , PPPP , Haji Rasool Bakhsh Chandio ," 253,871 "," 216,710 "," 470,581 "," 141,838 "," 92,297 "," 234,135 "," 221,482 "," 12,653 ", 50 , 56 , 43 ," 10,363 ", -   ," 2,576 ", -   ," 115,681 ", 581 ," 5,830 ", -   ," 2,080 "," 3,759 ", -   , -   , -   , -   , -   , -   , -   ," 1,460 ", -   , -   ," 79,152 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 223 , Sindh , NA-224 , Sajjawal , 9 , 359 , PPPP , Syed Ayaz Ali shah serazi ," 233,078 "," 191,250 "," 424,328 "," 120,881 "," 77,362 "," 198,243 "," 185,999 "," 12,244 ", 47 , 52 , 40 ," 15,097 ", -   ," 11,014 ", -   ," 134,006 ", 891 ," 15,314 ", -   , -   ," 9,677 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 224 , Sindh , NA-225 , Thatta , 11 , 425 , PPPP , Sadiq Ali Memon ," 286,354 "," 236,032 "," 522,386 "," 122,321 "," 72,670 "," 194,991 "," 186,701 "," 8,290 ", 37 , 43 , 31 ," 5,841 ", -   ," 6,324 "," 28,899 "," 140,773 ", 764 , -   , -   ," 4,100 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 225 , Sindh , NA-226 , Jamsharoo , 11 , 452 , PPPP , Malik Asad Skiandar ," 258,834 "," 218,228 "," 477,062 "," 133,622 "," 97,395 "," 231,017 "," 222,339 "," 8,678 ", 48 , 52 , 45 ," 15,898 ", -   ," 5,795 ", -   ," 165,044 ", -   , -   , -   , -   ," 3,983 ", -   , -   , -   , -   , -   , -   , -   , 743 , -   , -   ," 30,876 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 226 , Sindh , NA-227 , Dado-I , 12 , 333 , PPPP , Irfan Ali Lighari ," 258,308 "," 221,103 "," 479,411 "," 119,193 "," 94,909 "," 214,102 "," 205,020 "," 9,082 ", 45 , 46 , 43 ," 3,833 ", -   , 684 , -   ," 104,013 ", 686 ," 1,848 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 93,956 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 227 , Sindh , NA-228 , Dado-II , 15 , 337 , PPPP , Rafiq Ahmad Jamali ," 242,355 "," 208,707 "," 451,062 "," 100,769 "," 76,834 "," 177,603 "," 169,084 "," 8,519 ", 39 , 42 , 37 ," 8,613 ", -   ," 3,394 ", -   ," 98,451 ", 374 ," 1,774 ", -   , 697 ," 6,678 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 49,103 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 228 , Sindh , NA-229 , Malir-I , 15 , 184 , PPPP , Jam Abdul Karim Bajar ," 130,166 "," 102,273 "," 232,439 "," 62,716 "," 43,321 "," 106,037 "," 103,712 "," 2,325 ", 46 , 48 , 42 ," 1,026 ", -   ," 14,131 "," 21,841 "," 55,732 ", 148 , -   , 231 ," 5,219 "," 5,277 ", -   , -   , -   , -   , -   , -   , -   , 107 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 229 , Sindh , NA-230 , Malir-II , 25 , 163 , PPPP , Syed Rafiullah ," 145,303 "," 104,706 "," 250,009 "," 65,920 "," 36,288 "," 102,208 "," 99,546 "," 2,662 ", 41 , 45 , 35 ," 3,530 ", -   ," 23,370 "," 14,805 "," 32,099 ", -   , -   ," 1,007 "," 4,789 "," 3,591 ", -   , -   , -   , -   , -   , -   , -   , -   , 38 , -   , -   , -   , -   ," 15,593 ", -   , -   , -   , -   , 404 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 47 , -   , -   , 73 , -   , -   , -   , -   , -   , -   , -   , -   , -   
